Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3703.7,3820.8,4128.2,3860.5,4149.8,5286.5,5279.3,5445.7,6641.5,6644.7,6284.2,6663.7,7091.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,WOR AU Equity,WORLEY LTD,AUD,196.51599999999999,210.661,238.75800000000001,839.33299999999997,1162.3889999999999,2684.3220000000001,3217.5,3517.5,3642.4,3816.1,4391.3,5084.3999999999996,5049.5,5301.1,5020.8,4259,4475.8,11306,11081,10155,10396,10518,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,BSL AU Equity,BLUESCOPE STEEL LTD,AUD,3757.6001000000001,4753.1000999999997,5782.1,6385.7,7260.6,7506.2,8466.2000000000007,8864.6,8997.6,7793,6733.5,7330.8,7518.9,7877.5,9148.6,9575.4,10931,11696.3,11560.3,13149,16610.5,15935.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,14801.5,16973.800800000001,17574.2,18390.400000000001,19183.3,19493.7,19700,20049,19910,20858,21178,20032,17318,17530,16705,17221,18647,20535,20026,17807,19653,20354,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,SGP AU Equity,STOCKLAND,AUD,3327.1469999999999,5948.5990000000002,7212.9679999999998,8399.1,9598.5,13696.7,14660.7,14460.5,13956.9,14571.2,14533.9,14070,14900,15729,16942,17495,19291,18999,19155,19305,20414,16640,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PME AU Equity,PRO MEDICUS LTD,AUD,11.384,12.542999999999999,13.058,15.417999999999999,15.512,17.553999999999998,19.542999999999999,21.774999999999999,23.983000000000001,23.108000000000001,23.143999999999998,29.417999999999999,29.222999999999999,30.094000000000001,39.404000000000003,47.206000000000003,61.042999999999999,84.278000000000006,95.644999999999996,125.574,157.05099999999999,202.13499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,VCX AU Equity,VICINITY CENTRES,AUD,#N/A,#N/A,#N/A,#N/A,2325.8719999999998,3721.5309999999999,4887.634,2924.5940000000001,2602.348,1789.576,5097.4880000000003,5450.259,9461.9,15637.9,15849.5,16658.8,17481.599999999999,16993.599999999999,15239.4,14297.8,15552.6,15584.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ALX AU Equity,ATLAS ARTERIA,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1851.9680000000001,1629.9090000000001,1582.681,882.31399999999996,868.22799999999995,893.32399999999996,1176.8679999999999,4010.127,4628.5320000000002,5734.9290000000001,5268.9210000000003,5219.183,8318.5329999999994,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ALD AU Equity,AMPOL LTD,AUD,2837.1520999999998,2773.6460000000002,3244.768,4078.5479999999998,4417.4260000000004,5329.9359999999997,4921.5829999999996,4951.8090000000002,5290.6850000000004,4861.0590000000002,5385.6360000000004,6020.87,5128.5339999999997,5104.741,5302.7340000000004,6355.22,6727.6229999999996,8347.0400000000009,7317.9,8853.7000000000007,13331.2,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,SEK AU Equity,SEEK LTD,AUD,#N/A,15.039,43.622,69.418999999999997,102.236,136.32400000000001,209.77099999999999,460.63499999999999,513.64599999999996,970.59900000000005,1399.7639999999999,2204.6,2232.1999999999998,3299.2,3278.4,3683,3784,4250.2,4328.8,4600.6000000000004,4713.2,5230.8999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,
