Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021
365,QIP AU Equity,QANTM INTELLECTUAL PROPERTY,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,168.7834,139.5453,188.932,158.4723,#N/A
366,A2B AU Equity,A2B AUSTRALIA LTD,AUD,228.2498,401.4181,302.1757,332.8898,385.4797,505.0488,713.8022,1434.9618,987.5316,621.4223,619.0137,620.218,602.1534,485.3357,486.54,440.7763,384.1739,304.6896,289.0336,212.5602,97.5489,#N/A
367,GLL AU Equity,GALILEE ENERGY LTD,AUD,7.6268,1.9967000000000001,2.2292,12.874600000000001,14.9382,45.5253,37.3284,17.9463,21.8945,24.2496,26.6246,29.6674,20.539,19.7783,19.7783,16.735500000000002,10.6498,15.9747,76.8316,164.7459,157.4416,#N/A
368,SRG AU Equity,SRG GLOBAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.6916,50.1864,78.9106,175.7956,146.7456,74.9945,78.4033,98.1393,76.108,126.315,157.7488,218.0055,93.6172,#N/A
369,FSA AU Equity,FSA GROUP LTD,AUD,#N/A,5.5755,5.31,4.3089,3.1099,3.224,23.5722,94.017,18.47,43.8663,49.7714,33.1809,41.9567,87.5141,153.2384,158.8676,126.969,170.1259,175.1297,131.9727,107.9189,#N/A
370,NCZ AU Equity,NEW CENTURY RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.7,13.5,24.6411,28.7369,28.7369,36.3712,36.3712,660.2034,245.28,151.6828,#N/A
371,FID AU Equity,FIDUCIAN GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52.5018,71.8661,127.8713,145.5906,162.2439,157.2131,#N/A
372,CAJ AU Equity,CAPITOL HEALTH LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.8665,5.3295,19.4891,16.9834,7.5931999999999995,12.4528,16.9046,101.1515,191.8752,399.7645,83.6912,210.6256,255.4384,176.7423,250.5363,#N/A
373,MWY AU Equity,MIDWAY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,187.0498,197.7411,290.7142,69.8606,#N/A
374,BSA AU Equity,BSA LTD,AUD,37.026,14.7682,9.6972,16.7912,49.6767,50.5597,35.5437,119.1121,61.3284,27.8186,38.9298,42.4312,45.7722,33.1849,22.8861,69.7797,103.6123,143.7885,129.0143,139.1785,129.5578,#N/A
375,RAP AU Equity,RESAPP HEALTH LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,12.5874,15.1694,9.047,9.047,9.047,9.047,12.4734,3.4409,0.8602,1.9388999999999998,1.9388999999999998,240.0637,191.4022,88.9703,135.1604,128.6459,#N/A
376,EZL AU Equity,EUROZ LTD,AUD,3.2309,9.6699,11.1576,16.1688,34.6232,71.1525,127.5,220,256,119.3988,169.6898,227.545,165.2658,143.8145,189.2692,152.9978,123.3501,164.5049,188.4632,185.5497,150.9883,#N/A
377,VVA AU Equity,VIVA LEISURE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,47.34,187.3598,#N/A
378,MML AU Equity,MEDUSA MINING LTD,AUD,#N/A,#N/A,#N/A,#N/A,14.315,14.315,37.5837,180.3877,179.8714,374.4962,731.3667,1240.4615,912.4059,291.8564,383.3805,173.5082,132.9884,58.1824,103.8972,119.4817,143.3781,#N/A
379,SLM AU Equity,SALMAT LTD,AUD,#N/A,#N/A,#N/A,221.8618,430.9458,550.5172,320.0788,506.3465,446.2055,570.0633,634.6908,591.186,359.5545,310.0372,258.8971,115.0654,70.175,76.7454,130.5524,97.7657,#N/A,#N/A
380,MRM AU Equity,MMA OFFSHORE LTD,AUD,12.9,57.9248,21.6965,17.7757,37.2717,48.7775,84.0164,280.1927,281.5849,336.173,474.5859,687.0519,618.8584,809.4673,755.5382,198.6026,113.7885,57.8269,218.8096,150.1635,60.1726,#N/A
381,PCG AU Equity,PENGANA CAPITAL GROUP LTD,AUD,#N/A,37.8279,154.2209,78.1762,151.2211,141.8825,191.5757,343.3758,257.9824,131.6157,135.5538,140.2584,88.4042,45.9238,53.1229,55.2274,95.1793,228.0078,269.6167,120.5258,84.4931,#N/A
382,SHJ AU Equity,SHINE JUSTICE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,228.625,379.75,424.1042,185.2831,95.239,167.967,115.1526,133.4116,#N/A
383,WSP AU Equity,WHISPIR LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,150.6729,223.244,#N/A
384,CLH AU Equity,COLLECTION HOUSE LTD,AUD,#N/A,500.6577,295.5044,113.5546,138.5327,136.1106,94.8888,72.5048,44.7681,47.2011,72.9914,63.2592,86.5273,189.8951,243.8694,292.5752,147.9381,158.3116,203.8287,167.9755,167.9755,#N/A
