Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,
86,NEC AU Equity,NINE ENTERTAINMENT CO HOLDIN,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.16,1.55,1.05,1.38,2.48,1.875,1.38,#N/A,,,,,,
87,SDF AU Equity,STEADFAST GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.31,1.615,1.975,2.66,2.81,3.51,3.36,#N/A,,,,,,
88,PMV AU Equity,PREMIER INVESTMENTS LTD,AUD,1.95,1.5,1.95,2.5,3.85,4.35,4.8,8.8,7.12,6,6.38,5.54,4.88,7.68,9.34,13.43,16.22,13.35,17.35,16.33,17.57,#N/A,,,,,,
89,NHF AU Equity,NIB HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.62,0.92,1.25,1.445,1.495,2.13,3.26,3.36,4.22,5.75,5.73,7.67,4.61,#N/A,,,,,,
90,BKW AU Equity,BRICKWORKS LTD,AUD,40.15,5.85,6.35,7.88,9.1,10.51,11.99,13.5,11.9,12.95,11.81,9.9,10.1,12.24,14.3,14.9,15.03,13.2,15.58,16.75,16.33,#N/A,,,,,,
91,PDL AU Equity,PENDAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.4,2.9,2.44,1.98,2.09,4.31,6.15,9.56,8.89,11.05,8.79,7.39,#N/A,#N/A,,,,,,
92,IFL AU Equity,IOOF HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,4.8,6.66,8.5,10.19,5.1,4.17,5.99,6.6,6.05,7.36,8.4,8.99,7.83,9.8,8.99,5.17,4.92,#N/A,,,,,,
93,APX AU Equity,APPEN LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.65,2.84,8.31,12.83,22.46,#N/A,#N/A,,,,,,
94,WHC AU Equity,WHITEHAVEN COAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.09,4.47,3.14,4.8,5.83,4.15,2.3,1.435,1.315,1.075,2.87,5.78,3.66,1.43,#N/A,,,,,,
95,PTM AU Equity,PLATINUM ASSET MANAGEMENT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.42,3.11,4.12,4.68,4.12,3.89,5.47,6.3,7.48,5.76,4.63,5.76,4.85,3.73,#N/A,,,,,,
96,TNE AU Equity,TECHNOLOGY ONE LTD,AUD,3.7,0.83,0.61,0.365,0.56,0.52,0.68,1.22,0.905,0.81,0.98,1.07,1.365,2.05,3.18,3.84,5.9399999999999995,5.02,5.58,7.18,#N/A,#N/A,,,,,,
97,APE AU Equity,AP EAGERS LTD,AUD,3.7,4,4.88,7.24,6.98,7.55,10,15.95,6.1,12,12.5,11.8,4.38,4.96,5.98,12.7,9.22,7.97,6,10.24,#N/A,#N/A,,,,,,
98,MTS AU Equity,METCASH LTD,AUD,0.44,0.74,2.39,2.17,2.48,3.19,4.6,5.24,4.22,4.16,4.06,4.06,3.96,4.09,2.7800000000000002,1.325,1.76,2.15,3.6,2.87,2.49,#N/A,,,,,,
99,PME AU Equity,PRO MEDICUS LTD,AUD,#N/A,0.95,0.81,0.84,0.61,0.97,1.35,1.35,1.15,0.69,0.455,0.175,0.3,0.415,0.88,2.15,4.74,5.32,8.02,25.29,26.46,#N/A,,,,,,
100,IRE AU Equity,IRESS LTD,AUD,2.41,2.15,2,2.4699999999999998,4,4.5,7.02,8,5.15,8.59,8.73,6.93,8.24,9.44,10.71,10,11.87,11.58,11.12,13.04,#N/A,#N/A,,,,,,
